dtg,mac,rssi,ssid,oui
"2015-10-03 22:13:36.123416",84:db:ac:fb:86:ea,-83,DG1670A02,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:36.664814",84:db:ac:fb:86:ea,-83,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:37.226746",84:db:ac:fb:86:ea,-79,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:42.197237",84:db:ac:fb:86:ea,-81,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:47.754794",84:db:ac:fb:86:ea,-79,DG1670A02,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:48.309732",84:db:ac:fb:86:ea,-79,DG1670A02,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:49.505118",84:db:ac:fb:86:ea,-83,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:50.648147",84:db:ac:fb:86:ea,-85,DG1670A02,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:52.761360",84:db:ac:fb:86:ea,-83,DG1670A02,"Huawei Technologies Co., Ltd"
"2015-10-03 22:13:57.133087",84:db:ac:fb:86:ea,-83,DG1670A02,"Huawei Technologies Co., Ltd"
