dtg,mac,rssi,ssid,oui
"2015-10-03 19:28:38.094052",e8:50:8b:3f:37:5a,-81,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-03 19:33:25.806169",1e:b3:7c:3d:62:b0,-81,<None>,"Admin OUI"
"2015-10-03 19:33:51.235377",b0:34:95:a6:59:42,-83,nyu,Apple
"2015-10-03 19:34:23.087241",f0:f6:1c:bd:dc:55,-81,#BECAUSEPERU,Apple
"2015-10-03 19:34:36.498622",10:41:7f:7c:7f:e4,-81,<None>,"Apple Inc"
"2015-10-03 19:35:50.451454",42:85:a2:77:7f:a4,-83,<None>,"Admin OUI"
"2015-10-03 19:36:06.297843",fc:db:b3:44:27:50,-81,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-03 19:38:15.384677",40:0e:85:54:69:15,-83,<None>,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 19:38:18.152226",d0:25:98:e6:9b:7e,-85,TWCWiFi,"Apple, Inc."
"2015-10-03 19:38:18.694633",64:c6:67:02:d0:5a,-79,attwifibn,Barnes&Noble
"2015-10-03 19:38:18.762089",64:c6:67:02:d0:5a,-83,<None>,Barnes&Noble
"2015-10-03 19:38:18.850014",64:c6:67:02:d0:5a,-83,<None>,Barnes&Noble
"2015-10-03 19:38:26.308350",10:a5:d0:1f:c8:e1,-81,DOETWAC00M001v120g,"Murata Manufacturing Co.,Ltd."
"2015-10-03 19:42:53.830502",f0:4f:7c:42:67:4b,-81,LHSD,PRIVATE
"2015-10-03 19:42:53.852499",f0:4f:7c:42:67:4b,-83,NETGEAR_EXT,PRIVATE
"2015-10-03 19:42:53.874676",f0:4f:7c:42:67:4b,-81,NETGEAR_EXT,PRIVATE
"2015-10-03 19:42:53.933538",f0:4f:7c:42:67:4b,-81,"Caribe Playa",PRIVATE
"2015-10-03 19:42:53.955482",f0:4f:7c:42:67:4b,-83,78902,PRIVATE
"2015-10-03 19:43:39.416700",6c:76:60:71:fb:ec,-83,<None>,"KYOCERA Corporation"
"2015-10-03 19:45:51.986412",24:0a:11:6a:b9:18,-79,<None>,"TCT Mobile Limited"
"2015-10-03 19:46:22.004847",3a:e8:ef:66:4b:a5,-81,<None>,"Admin OUI"
"2015-10-03 19:50:33.740081",7e:53:e4:67:ca:2b,-79,<None>,"Admin OUI"
"2015-10-03 19:51:27.170083",6e:4c:ab:a8:20:03,-77,<None>,"Admin OUI"
"2015-10-03 19:54:54.236258",4c:74:03:0e:d0:37,-81,<None>,"Mundo Reader (bq)"
"2015-10-03 19:54:54.254884",4c:74:03:0e:d0:37,-81,<None>,"Mundo Reader (bq)"
"2015-10-03 19:55:53.509232",d4:0b:1a:a7:0f:15,-81,<None>,Error
"2015-10-03 19:55:53.661741",d4:0b:1a:a7:0f:15,-79,<None>,"HTC Corporation"
"2015-10-03 19:55:53.685546",d4:0b:1a:a7:0f:15,-79,<None>,"HTC Corporation"
"2015-10-03 19:56:51.631517",a0:39:f7:79:09:1d,-79,<None>,"LG Electronics (Mobile Communications)"
"2015-10-03 19:56:51.653424",a0:39:f7:79:09:1d,-81,<None>,"LG Electronics (Mobile Communications)"
"2015-10-03 19:56:51.675657",a0:39:f7:79:09:1d,-79,<None>,"LG Electronics (Mobile Communications)"
"2015-10-03 19:57:16.441777",d0:5b:a8:14:80:88,-79,<None>,"zte corporation"
"2015-10-03 19:57:45.167894",d4:0b:1a:a7:0f:15,-81,_FreeWestfieldWiFi,"HTC Corporation"
"2015-10-03 19:58:09.538834",d4:0b:1a:a7:0f:15,-83,<None>,"HTC Corporation"
"2015-10-03 19:58:09.566073",d4:0b:1a:a7:0f:15,-83,<None>,"HTC Corporation"
"2015-10-03 20:02:56.265887",0c:48:85:a2:77:70,-79,<None>,"LG Electronics"
"2015-10-03 20:02:56.288137",0c:48:85:a2:77:70,-79,<None>,"LG Electronics"
"2015-10-03 20:02:56.305851",0c:48:85:a2:77:70,-79,<None>,"LG Electronics"
"2015-10-03 20:02:56.328115",0c:48:85:a2:77:70,-79,<None>,"LG Electronics"
"2015-10-03 20:02:56.353009",0c:48:85:a2:77:70,-81,<None>,"LG Electronics"
"2015-10-03 20:03:26.514747",9c:f3:87:4e:ed:9b,-79,<None>,Apple
"2015-10-03 20:05:14.423380",fe:54:3d:d1:5f:85,-81,<None>,"Admin OUI"
"2015-10-03 20:05:23.184492",f4:09:d8:d9:17:3a,-81,DOETWAC00M001V120G,"Samsung Electro Mechanics co., LTD."
"2015-10-03 20:06:30.345304",b0:45:19:52:0d:d7,-83,<None>,"TCT mobile ltd"
"2015-10-03 20:08:03.233779",0c:bd:51:f0:02:21,-81,BTDS-Guest-WPA,"TCT Mobile Limited"
"2015-10-03 20:08:03.256104",0c:bd:51:f0:02:21,-77,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:04.122122",0c:bd:51:f0:02:21,-79,BTDS-Guest-WPA,"TCT Mobile Limited"
"2015-10-03 20:08:04.144121",0c:bd:51:f0:02:21,-81,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:04.565427",0c:bd:51:f0:02:21,-81,BTDS-Guest-WPA,"TCT Mobile Limited"
"2015-10-03 20:08:04.583385",0c:bd:51:f0:02:21,-81,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:05.042049",0c:bd:51:f0:02:21,-83,BTDS-Guest-WPA,"TCT Mobile Limited"
"2015-10-03 20:08:05.060169",0c:bd:51:f0:02:21,-81,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:06.859943",0c:bd:51:f0:02:21,-81,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:07.266568",0c:bd:51:f0:02:21,-85,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:09.163839",0c:bd:51:f0:02:21,-81,BTDS-Guest-WPA,"TCT Mobile Limited"
"2015-10-03 20:08:09.617708",0c:bd:51:f0:02:21,-81,<None>,"TCT Mobile Limited"
"2015-10-03 20:08:56.808948",a4:5e:60:e0:d7:97,-79,GuestWiFi,Apple
"2015-10-03 20:12:27.965656",02:e1:2f:58:fa:84,-83,<None>,"Admin OUI"
"2015-10-03 20:12:27.989840",02:e1:2f:58:fa:84,-79,<None>,"Admin OUI"
"2015-10-03 20:12:32.476559",d8:bb:2c:76:30:70,-81,NYCCT,Apple
"2015-10-03 20:12:32.495207",d8:bb:2c:76:30:70,-81,NYCCT,Apple
"2015-10-03 20:12:32.559723",d8:bb:2c:76:30:70,-81,NYCCT,Apple
"2015-10-03 20:12:32.581948",d8:bb:2c:76:30:70,-79,NYCCT,Apple
"2015-10-03 20:12:32.603513",d8:bb:2c:76:30:70,-81,NYCCT,Apple
"2015-10-03 20:12:32.625379",d8:bb:2c:76:30:70,-83,NYCCT,Apple
"2015-10-03 20:17:50.278776",48:50:73:bd:f4:08,-83,<None>,"Microsoft Corporation"
"2015-10-03 20:21:10.140734",30:c7:ae:ec:85:c0,-79,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:10.163002",66:05:01:76:a2:30,-81,<None>,"Admin OUI"
"2015-10-03 20:21:14.853939",30:c7:ae:ec:85:c0,-79,JXD5B,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:14.875919",30:c7:ae:ec:85:c0,-79,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:20.318093",30:c7:ae:ec:85:c0,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:20.348011",30:c7:ae:ec:85:c0,-79,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:26.529724",30:c7:ae:ec:85:c0,-81,JXD5B,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:26.551930",30:c7:ae:ec:85:c0,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 20:21:57.920308",f0:4f:7c:42:67:4b,-79,TG852G52,PRIVATE
"2015-10-03 20:21:57.943063",f0:4f:7c:42:67:4b,-79,LMM_Airport_Open_Hotspot,PRIVATE
"2015-10-03 20:21:57.964738",f0:4f:7c:42:67:4b,-81,"nitc uro",PRIVATE
"2015-10-03 20:21:57.986679",f0:4f:7c:42:67:4b,-81,"1850 House Guests80ee26",PRIVATE
"2015-10-03 20:21:58.004871",f0:4f:7c:42:67:4b,-83,"SON_Avalon Fort Greene",PRIVATE
"2015-10-03 20:21:58.027088",f0:4f:7c:42:67:4b,-81,NETGEAR83,PRIVATE
"2015-10-03 20:21:58.044862",f0:4f:7c:42:67:4b,-83,"CIC Free WiFi",PRIVATE
"2015-10-03 20:21:58.066459",f0:4f:7c:42:67:4b,-83,ShinyMonkey,PRIVATE
"2015-10-03 20:21:58.084148",f0:4f:7c:42:67:4b,-81,78902,PRIVATE
"2015-10-03 20:22:28.347457",f0:4f:7c:42:67:4b,-81,TG852G52,PRIVATE
"2015-10-03 20:22:28.375126",f0:4f:7c:42:67:4b,-79,LHSD,PRIVATE
"2015-10-03 20:22:28.397078",f0:4f:7c:42:67:4b,-79,"JetBlue Hotspot",PRIVATE
"2015-10-03 20:23:34.173800",70:14:a6:73:31:f2,-81,<None>,Error
"2015-10-03 20:23:43.293002",28:84:fa:16:d1:1f,-81,<None>,"SHARP Corporation"
"2015-10-03 20:23:48.184574",28:84:fa:16:d1:1f,-81,<None>,"SHARP Corporation"
"2015-10-03 20:24:47.434034",1c:99:4c:52:a2:a1,-83,<None>,"Murata Manufactuaring Co.,Ltd."
"2015-10-03 20:25:02.235908",3c:df:bd:b2:52:6b,-83,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 20:28:48.935478",e0:9d:31:a0:3c:c8,-79,DOBIVN,"Intel Corporate"
"2015-10-03 20:28:48.957689",e0:9d:31:a0:3c:c8,-81,<None>,"Intel Corporate"
"2015-10-03 20:28:48.976156",e0:9d:31:a0:3c:c8,-79,DOBIVN,"Intel Corporate"
"2015-10-03 20:29:53.479189",00:1d:7d:4b:62:19,-83,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD."
"2015-10-03 20:30:10.725843",ac:81:12:66:3e:7e,-79,nyu,"Gemtek Technology Co., Ltd."
"2015-10-03 20:30:12.075243",f0:99:bf:27:1c:da,-85,19852007M,Apple
"2015-10-03 20:30:43.254688",00:1d:7d:4b:62:19,-81,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD."
"2015-10-03 20:31:53.924354",9e:53:39:24:48:8a,-83,<None>,"Admin OUI"
"2015-10-03 20:32:03.096928",00:24:1d:bb:07:12,-83,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD."
"2015-10-03 20:33:11.311745",ac:81:12:66:3e:7e,-81,nyu,"Gemtek Technology Co., Ltd."
"2015-10-03 20:34:33.622907",d0:22:be:6c:95:bd,-81,<None>,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 20:34:33.645488",d0:22:be:6c:95:bd,-81,attwifibn,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 20:48:04.407596",6a:fb:75:3a:7c:82,-79,<None>,"Admin OUI"
"2015-10-03 20:49:51.113263",64:89:9a:50:40:55,-81,<None>,"LG Electronics"
"2015-10-03 20:51:56.452283",54:9f:13:4f:e3:b2,-81,TWCWiFi,Apple
"2015-10-03 20:51:56.474464",54:9f:13:4f:e3:b2,-79,TWCWiFi,Apple
"2015-10-03 20:54:37.994738",9c:f3:87:20:dc:cf,-83,<None>,Apple
"2015-10-03 20:54:53.916871",00:16:47:92:e9:10,-83,pr0t0c0l50%,"CISCO SYSTEMS, INC."
"2015-10-03 20:54:57.250617",00:16:47:92:e9:10,-83,pr0t0c0l50%,"CISCO SYSTEMS, INC."
"2015-10-03 20:57:55.333314",48:59:29:c0:44:bb,-83,<None>,"LG Electronics"
"2015-10-03 20:58:33.786045",48:59:29:c0:44:bb,-81,<None>,"LG Electronics"
"2015-10-03 20:59:03.064712",0c:12:62:70:71:60,-83,<None>,"zte corporation"
"2015-10-03 21:02:03.317864",78:7e:61:71:09:1b,-83,<None>,Apple
"2015-10-03 21:02:23.760040",78:7e:61:71:09:1b,-81,Subimage,Apple
"2015-10-03 21:02:23.788485",78:7e:61:71:09:1b,-81,<None>,Apple
"2015-10-03 21:02:23.807093",78:7e:61:71:09:1b,-83,Subimage,Apple
"2015-10-03 21:04:18.408120",90:b6:86:16:4e:ef,-81,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-03 21:04:18.426572",90:b6:86:16:4e:ef,-79,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-03 21:06:04.614061",a2:3a:56:65:17:c7,-83,<None>,"Admin OUI"
"2015-10-03 21:06:04.636141",a2:3a:56:65:17:c7,-79,<None>,"Admin OUI"
"2015-10-03 21:06:30.186846",ac:bc:32:88:c0:bb,-79,nyu,Unknown
"2015-10-03 21:06:30.206144",ac:bc:32:88:c0:bb,-79,nyu,Unknown
"2015-10-03 21:07:27.578513",18:f6:43:71:5b:3b,-81,<None>,Apple
"2015-10-03 21:10:19.720847",4c:7c:5f:cb:9a:5a,-83,<None>,Apple
"2015-10-03 21:12:26.968468",7c:f9:0e:f5:84:35,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 21:12:41.724231",60:8f:5c:45:11:31,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 21:13:40.360223",00:22:64:39:f0:da,-81,"Leeds United","Hewlett-Packard Company"
"2015-10-03 21:14:15.064334",00:22:64:39:f0:da,-81,"Leeds United","Hewlett-Packard Company"
"2015-10-03 21:14:22.599829",00:22:64:39:f0:da,-81,"Leeds United","Hewlett-Packard Company"
"2015-10-03 21:15:02.046754",ac:b5:7d:74:a9:1b,-83,nyu,"Liteon Technology Corporation"
"2015-10-03 21:16:07.607146",98:f1:70:8c:fa:66,-81,TWCWiFi,Error
"2015-10-03 21:16:07.751113",98:f1:70:8c:fa:66,-83,TWCWiFi,"Murata Manufacturing Co., Ltd."
