dtg,count
"2015-10-01 16:24:23.896009",1
"2015-10-01 16:32:40.498600",1
"2015-10-01 16:32:46.934128",1
"2015-10-01 16:32:56.863641",1
"2015-10-01 16:33:02.479030",1
"2015-10-01 17:52:15.864429",1
"2015-10-01 17:54:46.122216",1
"2015-10-01 17:55:41.539087",1
"2015-10-01 17:56:32.032808",1
"2015-10-01 17:57:59.424370",1
"2015-10-01 18:00:21.181553",1
"2015-10-01 18:00:44.786431",1
"2015-10-01 18:02:37.819097",1
"2015-10-01 18:07:26.651217",1
"2015-10-01 18:09:34.522019",1
"2015-10-01 18:14:01.853381",1
"2015-10-01 18:15:13.845876",1
"2015-10-01 18:15:59.184051",1
"2015-10-01 18:16:53.475824",1
"2015-10-01 18:22:30.348652",1
"2015-10-01 18:25:34.251659",1
"2015-10-01 18:29:00.979887",1
"2015-10-01 18:30:36.409991",1
"2015-10-01 18:30:58.311386",1
"2015-10-01 18:31:28.252836",1
"2015-10-01 18:31:35.468404",1
"2015-10-01 18:31:44.575731",1
"2015-10-01 18:32:14.174283",1
"2015-10-01 18:33:19.484410",1
"2015-10-01 18:33:51.034528",1
"2015-10-01 18:36:50.769749",1
"2015-10-01 18:37:16.173543",1
"2015-10-01 18:37:38.444081",1
"2015-10-01 18:39:17.519599",1
"2015-10-01 18:43:16.646153",1
"2015-10-01 18:44:54.809302",1
"2015-10-01 18:45:03.048190",1
"2015-10-01 18:55:23.022752",1
"2015-10-01 19:02:39.964802",1
"2015-10-01 19:03:43.064640",1
"2015-10-01 19:04:11.203654",1
"2015-10-01 19:05:08.654290",1
"2015-10-01 19:05:29.890630",1
"2015-10-01 19:07:47.375826",1
"2015-10-01 19:11:58.629077",1
"2015-10-01 19:12:58.740120",1
"2015-10-01 19:13:07.567088",1
"2015-10-01 19:15:15.495244",1
"2015-10-01 19:16:36.086434",1
"2015-10-01 19:20:12.989864",1
"2015-10-01 19:23:29.575293",1
"2015-10-01 19:26:44.857514",1
"2015-10-01 19:27:03.909734",1
"2015-10-01 19:29:20.485642",1
"2015-10-01 19:31:04.562452",1
"2015-10-01 19:32:29.859505",1
"2015-10-01 19:36:46.223221",1
"2015-10-01 19:38:18.711099",1
"2015-10-01 19:46:35.679867",1
"2015-10-01 19:49:14.103690",1
"2015-10-01 19:52:27.502325",1
"2015-10-01 19:52:35.199936",1
"2015-10-01 19:57:42.691303",1
"2015-10-01 19:57:49.077927",1
"2015-10-01 19:57:54.860113",1
"2015-10-01 19:59:23.290145",1
"2015-10-01 20:00:06.393896",1
"2015-10-01 20:01:08.086872",1
"2015-10-01 20:01:34.018547",1
"2015-10-01 20:01:39.893594",1
"2015-10-01 20:01:48.893046",1
"2015-10-01 20:01:55.392480",1
"2015-10-01 20:06:46.733461",1
"2015-10-01 20:09:15.842174",1
"2015-10-01 20:10:02.408873",1
"2015-10-01 20:11:07.072088",1
"2015-10-01 20:12:16.609709",1
"2015-10-01 20:13:52.336614",1
"2015-10-01 20:19:37.184348",1
"2015-10-01 20:20:07.717449",1
"2015-10-01 20:20:40.356901",1
"2015-10-01 20:27:37.501100",1
"2015-10-01 20:29:56.418707",1
"2015-10-01 20:34:58.564865",1
"2015-10-01 20:35:19.846709",1
"2015-10-01 20:40:18.432775",1
"2015-10-01 20:41:06.236511",1
"2015-10-01 20:41:46.733143",1
"2015-10-01 20:47:14.730230",1
"2015-10-01 20:48:01.523554",1
"2015-10-01 20:53:24.005008",1
"2015-10-01 20:54:22.828347",1
"2015-10-01 20:57:14.736408",1
"2015-10-01 20:57:25.369492",1
"2015-10-01 20:57:46.530802",1
"2015-10-01 20:58:00.044507",1
"2015-10-01 21:02:47.755647",1
"2015-10-01 21:05:23.043445",1
"2015-10-01 21:05:28.873585",1
"2015-10-01 21:09:20.774400",1
"2015-10-01 21:10:12.775978",1
"2015-10-01 21:11:39.136051",1
"2015-10-01 21:16:45.576600",1
"2015-10-01 21:18:41.466027",1
"2015-10-01 21:20:00.734274",1
"2015-10-01 21:25:14.783163",1
"2015-10-01 21:26:23.641845",1
"2015-10-01 21:32:04.572109",1
"2015-10-01 21:33:09.443420",1
"2015-10-01 21:38:35.010316",1
"2015-10-01 21:42:58.396195",1
"2015-10-01 21:48:17.673537",1
"2015-10-01 21:52:41.876468",1
"2015-10-01 21:52:47.706545",1
"2015-10-01 21:54:14.396976",1
"2015-10-01 21:58:12.293738",1
"2015-10-01 22:00:12.139333",1
"2015-10-01 22:01:34.760796",1
"2015-10-01 22:31:31.716127",1
"2015-10-01 22:32:27.582060",1
"2015-10-01 22:33:05.324644",1
"2015-10-01 22:37:40.360745",1
"2015-10-01 22:37:46.231089",1
"2015-10-01 22:40:41.951232",1
"2015-10-01 22:40:48.129171",1
"2015-10-01 22:41:31.394167",1
"2015-10-01 22:41:40.283079",1
"2015-10-01 22:41:50.196493",1
"2015-10-01 22:41:56.103951",1
"2015-10-01 22:42:09.725729",1
"2015-10-01 22:42:15.756813",1
"2015-10-01 22:42:21.631819",1
"2015-10-01 22:43:04.616784",1
"2015-10-01 23:38:30.585555",1
"2015-10-01 23:47:13.564987",1
"2015-10-02 00:00:17.884591",1
"2015-10-02 00:05:03.690922",1
"2015-10-02 00:05:10.241960",1
"2015-10-02 00:05:26.159781",1
"2015-10-02 00:05:39.090466",1
"2015-10-02 00:05:45.032193",1
"2015-10-02 00:39:35.144203",1
"2015-10-02 00:53:34.850052",1
"2015-10-02 00:58:48.017760",1
"2015-10-02 01:11:35.188787",1
"2015-10-02 01:29:05.293223",1
"2015-10-02 01:31:34.019073",1
"2015-10-02 01:53:40.790735",1
"2015-10-02 02:03:12.799312",1
"2015-10-02 02:09:16.303795",1
"2015-10-02 02:33:33.692678",1
"2015-10-02 02:40:36.065695",1
"2015-10-02 03:29:16.922234",1
"2015-10-02 03:33:17.144797",1
"2015-10-02 03:52:01.351120",1
"2015-10-02 04:09:43.557896",1
"2015-10-02 04:13:57.103606",1
"2015-10-02 04:15:53.337874",1
"2015-10-02 04:26:11.521902",1
"2015-10-02 04:42:21.691786",1
"2015-10-02 04:51:34.224330",1
"2015-10-02 05:02:38.081538",1
"2015-10-02 05:27:25.219055",1
"2015-10-02 05:28:04.465851",1
"2015-10-02 05:29:45.227553",1
"2015-10-02 05:59:09.798404",1
"2015-10-02 06:06:26.304588",1
"2015-10-02 06:10:54.929609",1
"2015-10-02 06:56:09.925340",1
"2015-10-02 07:07:03.694216",1
"2015-10-02 07:26:42.970540",1
"2015-10-02 07:40:59.856152",1
"2015-10-02 08:27:10.629151",1
"2015-10-02 08:32:01.776655",1
"2015-10-02 08:51:37.289717",1
"2015-10-02 09:00:31.981890",1
"2015-10-02 09:05:11.198017",1
"2015-10-02 09:11:34.486190",1
"2015-10-02 09:20:54.436553",1
"2015-10-02 09:25:43.241206",1
"2015-10-02 09:30:56.533233",1
"2015-10-02 09:45:27.198919",1
"2015-10-02 09:45:58.728674",1
"2015-10-02 09:48:24.326640",1
"2015-10-02 10:01:49.891259",1
"2015-10-02 10:04:36.546140",1
"2015-10-02 10:05:50.602698",1
"2015-10-02 10:08:04.918445",1
"2015-10-02 10:09:17.234685",1
"2015-10-02 10:10:01.869188",1
"2015-10-02 10:12:51.997683",1
"2015-10-02 10:15:29.245601",1
"2015-10-02 10:23:43.176989",1
"2015-10-02 10:28:42.844746",1
"2015-10-02 10:30:05.100109",1
"2015-10-02 10:37:02.615499",1
"2015-10-02 10:39:26.739388",1
"2015-10-02 10:40:43.658674",1
"2015-10-02 10:43:33.353369",1
"2015-10-02 10:44:39.463691",1
"2015-10-02 10:45:34.227938",1
"2015-10-02 10:47:12.442044",1
"2015-10-02 10:48:21.739517",1
"2015-10-02 10:50:34.949977",1
"2015-10-02 10:54:28.057884",1
"2015-10-02 10:54:41.288036",1
"2015-10-02 10:56:47.194098",1
"2015-10-02 11:04:58.150289",1
"2015-10-02 11:05:20.119354",1
"2015-10-02 11:14:43.050108",1
"2015-10-02 11:16:48.971090",1
"2015-10-02 11:19:04.726906",1
"2015-10-02 11:19:11.044250",1
