dtg,mac,rssi,ssid,oui,count
"2015-09-16 14:59:40.276046",64:5a:04:b1:e0:a2,-77,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 14:59:43.827178",70:14:a6:88:f2:71,-77,<None>,"Apple, Inc.",
"2015-09-16 14:59:59.783579",f0:db:f8:eb:70:a0,-79,<None>,Apple,
"2015-09-16 15:00:15.609728",78:4b:87:ff:eb:73,-79,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:00:27.264543",48:e9:f1:b7:0d:1a,-55,<None>,Apple,
"2015-09-16 15:00:27.324001",48:e9:f1:b7:0d:1a,-37,<None>,Apple,
"2015-09-16 15:00:31.548861",82:1d:7d:91:a5:9e,-73,<None>,"Admin OUI",
"2015-09-16 15:00:31.665783",48:e9:f1:b7:0d:1a,-69,<None>,Apple,
"2015-09-16 15:00:34.012756",6a:a9:c7:ba:45:aa,-73,<None>,"Admin OUI",
"2015-09-16 15:00:37.480096",9a:7f:35:6f:e0:c0,-71,<None>,"Admin OUI",
"2015-09-16 15:00:39.559176",48:e9:f1:b7:0d:1a,-73,<None>,Apple,
"2015-09-16 15:01:09.977735",98:d6:f7:97:28:e1,-77,<None>,"LG Electronics",
"2015-09-16 15:01:10.205952",ac:22:0b:60:8c:f6,-77,<None>,"ASUSTek COMPUTER INC.",
"2015-09-16 15:01:11.747307",7c:f9:0e:aa:7b:df,-77,<None>,Error,
"2015-09-16 15:02:04.444571",f2:01:98:de:13:c8,-73,<None>,"Admin OUI",
"2015-09-16 15:02:34.246655",98:d6:f7:97:28:e1,-77,<None>,"LG Electronics",
"2015-09-16 15:02:48.272526",54:40:ad:e7:c6:7a,-75,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:02:52.615891",f2:01:98:de:13:c8,-75,<None>,"Admin OUI",
"2015-09-16 15:02:55.015896",78:7e:61:4a:80:6f,-75,<None>,Apple,
"2015-09-16 15:02:55.080688",20:d7:5a:00:ef:ba,-75,<None>,"Posh Mobile Limited",
"2015-09-16 15:02:55.140599",20:d7:5a:00:ef:ba,-75,<None>,"Posh Mobile Limited",
"2015-09-16 15:03:21.792475",98:d6:f7:97:28:e1,-75,<None>,"LG Electronics",
"2015-09-16 15:03:24.283203",98:d6:f7:97:28:e1,-75,<None>,"LG Electronics",
"2015-09-16 15:03:26.317546",20:d7:5a:00:ef:ba,-73,<None>,"Posh Mobile Limited",
"2015-09-16 15:03:41.978002",98:d6:f7:97:28:e1,-73,<None>,"LG Electronics",
"2015-09-16 15:03:54.618551",d4:0b:1a:94:bf:5a,-77,United_Wi-Fi,"HTC Corporation",
"2015-09-16 15:03:54.671561",d4:0b:1a:94:bf:5a,-77,@SmartFi-Open,"HTC Corporation",
"2015-09-16 15:03:54.731092",d4:0b:1a:94:bf:5a,-77,"UCS Public Internet","HTC Corporation",
"2015-09-16 15:04:03.863335",80:01:84:62:0b:69,-77,<None>,"HTC Corporation",
"2015-09-16 15:04:03.915149",80:01:84:62:0b:69,-75,<None>,"HTC Corporation",
"2015-09-16 15:04:05.558617",10:41:7f:7f:b3:64,-75,<None>,"Apple Inc",
"2015-09-16 15:04:22.361806",f0:db:f8:eb:70:a0,-77,<None>,Apple,
"2015-09-16 15:04:29.942324",a0:39:f7:32:e1:19,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:04:37.956125",f2:01:98:de:13:c8,-71,<None>,"Admin OUI",
"2015-09-16 15:04:38.004978",f2:01:98:de:13:c8,-71,<None>,"Admin OUI",
"2015-09-16 15:04:41.357835",80:6a:b0:52:86:e0,-75,<None>,"Tinno Mobile Technology Corp",
"2015-09-16 15:04:47.295432",4c:a5:6d:df:40:dc,-73,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:04:47.359823",4c:a5:6d:df:40:dc,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:04:47.419013",4c:a5:6d:df:40:dc,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:04:47.475517",4c:a5:6d:df:40:dc,-77,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:05:10.847283",90:b6:86:c3:3f:99,-77,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 15:05:13.918816",62:20:49:d8:f8:15,-73,<None>,"Admin OUI",
"2015-09-16 15:05:20.242668",8c:c5:e1:b7:1b:77,-73,<None>,"ShenZhen Konka Telecommunication Technology Co.,Ltd",
"2015-09-16 15:05:20.289885",8c:c5:e1:b7:1b:77,-73,<None>,"ShenZhen Konka Telecommunication Technology Co.,Ltd",
"2015-09-16 15:05:32.977113",00:08:22:9c:b8:fb,-77,<None>,"InPro Comm",
"2015-09-16 15:05:36.823975",00:12:34:1c:78:69,-77,<None>,"Camille Bauer",
"2015-09-16 15:05:36.878331",00:12:34:1c:78:69,-73,<None>,"Camille Bauer",
"2015-09-16 15:06:19.993843",ea:85:95:0c:0a:f7,-69,<None>,"Admin OUI",
"2015-09-16 15:06:22.427015",50:55:27:c0:92:18,-77,<None>,"LG Electronics",
"2015-09-16 15:06:22.478122",50:55:27:c0:92:18,-79,<None>,"LG Electronics",
"2015-09-16 15:06:24.822480",10:a5:d0:f0:c1:22,-77,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:06:24.871754",10:a5:d0:f0:c1:22,-73,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:06:46.384329",f2:01:98:de:13:c8,-75,<None>,"Admin OUI",
"2015-09-16 15:06:46.433046",f2:01:98:de:13:c8,-75,<None>,"Admin OUI",
"2015-09-16 15:06:48.519162",34:23:ba:41:c3:59,-73,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:06:59.113147",10:a5:d0:f0:c1:22,-75,ForestCity,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:07:00.119674",10:a5:d0:f0:c1:22,-77,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:07:00.171204",10:a5:d0:f0:c1:22,-73,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:07:05.104588",10:41:7f:7f:b3:64,-71,<None>,"Apple Inc",
"2015-09-16 15:07:11.204869",50:55:27:ec:13:06,-77,<None>,"LG Electronics",
"2015-09-16 15:07:17.060183",50:55:27:d1:d0:e0,-79,<None>,"LG Electronics",
"2015-09-16 15:07:29.115183",0c:8b:fd:57:eb:cb,-79,nyu,"Intel Corporate",
"2015-09-16 15:07:34.448307",f8:95:c7:ed:fd:46,-79,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:07:38.384027",10:41:7f:7f:b3:64,-77,<None>,"Apple Inc",
"2015-09-16 15:07:41.072342",10:a5:d0:f0:c1:22,-75,ForestCity,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:07:41.391314",10:a5:d0:f0:c1:22,-75,ForestCity,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:08:00.654973",d0:a6:37:62:9f:f3,-77,<None>,Apple,
"2015-09-16 15:08:14.579408",10:a5:d0:f0:c1:22,-75,ForestCity,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:08:16.311439",a0:39:f7:35:58:97,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:08:38.759125",f2:01:98:de:13:c8,-69,<None>,"Admin OUI",
"2015-09-16 15:08:54.275143",90:b6:86:f8:31:fe,-75,<None>,Error,
"2015-09-16 15:08:59.666266",34:23:ba:41:c3:59,-75,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:09:43.918239",ce:a2:54:32:98:22,-67,<None>,"Admin OUI",
"2015-09-16 15:09:51.810941",a0:39:f7:5d:c7:75,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:09:51.869652",a0:39:f7:5d:c7:75,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:09:52.203046",5a:ce:04:26:46:23,-73,<None>,"Admin OUI",
"2015-09-16 15:09:56.284846",64:5a:04:b1:e0:a2,-73,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 15:09:56.571274",a0:39:f7:5d:c7:75,-75,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:09:56.624506",a0:39:f7:5d:c7:75,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:09:58.741817",e8:d4:e0:a7:2c:94,-77,<None>,"Beijing BenyWave Technology Co., Ltd.",
"2015-09-16 15:10:01.614377",b8:98:f7:ff:66:dc,-77,<None>,"Gionee Communication Equipment Co,Ltd.ShenZhen",
"2015-09-16 15:10:12.659958",10:41:7f:7f:b3:64,-79,<None>,"Apple Inc",
"2015-09-16 15:10:19.403526",64:89:9a:7d:e6:9c,-75,<None>,"LG Electronics",
"2015-09-16 15:10:19.458043",64:89:9a:7d:e6:9c,-73,<None>,"LG Electronics",
"2015-09-16 15:10:36.905473",00:1a:4d:3e:26:bf,-75,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:10:40.420157",10:41:7f:7f:b3:64,-73,<None>,"Apple Inc",
"2015-09-16 15:10:46.976400",94:01:c2:ba:86:5d,-77,ASA-College,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:10:53.753611",f2:01:98:de:13:c8,-75,<None>,"Admin OUI",
"2015-09-16 15:11:11.186607",24:77:03:6f:04:80,-79,<None>,"Intel Corporate",
"2015-09-16 15:11:11.232978",24:77:03:6f:04:80,-75,TransCare,"Intel Corporate",
"2015-09-16 15:11:13.939689",64:5a:04:b1:e0:a2,-75,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 15:11:24.873237",0c:8b:fd:57:eb:cb,-77,nyu,"Intel Corporate",
"2015-09-16 15:11:25.214192",00:1a:4d:3e:26:bf,-73,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:25.262141",00:1a:4d:3e:26:bf,-77,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:25.944922",74:5c:9f:c9:21:a2,-77,CableWiFi,"TCT mobile ltd.",
"2015-09-16 15:11:34.175803",00:1a:4d:3e:26:bf,-77,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:37.916583",d8:55:a3:df:94:7e,-75,<None>,"zte corporation",
"2015-09-16 15:11:38.570658",00:1a:4d:3e:26:bf,-75,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:38.597216",00:1a:4d:3e:26:bf,-77,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:41.697745",50:55:27:dd:55:0f,-75,<None>,"LG Electronics",
"2015-09-16 15:11:41.731203",50:55:27:dd:55:0f,-75,<None>,"LG Electronics",
"2015-09-16 15:11:41.763578",50:55:27:dd:55:0f,-77,<None>,"LG Electronics",
"2015-09-16 15:11:47.374475",00:1a:4d:3e:26:bf,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:47.411561",00:1a:4d:3e:26:bf,-75,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:11:48.424591",50:55:27:dd:55:0f,-75,<None>,"LG Electronics",
"2015-09-16 15:11:49.007027",b2:32:84:24:a8:2e,-73,<None>,"Admin OUI",
"2015-09-16 15:11:53.985848",10:41:7f:7f:b3:64,-75,<None>,"Apple Inc",
"2015-09-16 15:11:56.806191",0c:8b:fd:57:eb:cb,-77,<None>,"Intel Corporate",
"2015-09-16 15:11:57.320691",10:41:7f:7f:b3:64,-77,<None>,"Apple Inc",
"2015-09-16 15:12:08.619763",d8:55:a3:df:94:7e,-73,<None>,"zte corporation",
"2015-09-16 15:12:08.672760",d8:55:a3:df:94:7e,-77,<None>,"zte corporation",
"2015-09-16 15:12:25.005147",00:1a:4d:3e:26:bf,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:12:37.040886",e0:b5:2d:36:6d:61,-77,<None>,Apple,
"2015-09-16 15:12:39.897109",10:41:7f:7f:b3:64,-73,<None>,"Apple Inc",
"2015-09-16 15:12:48.624872",70:14:a6:0a:9c:50,-75,<None>,"Apple, Inc.",
"2015-09-16 15:12:50.914462",2e:98:39:6a:8a:7a,-77,<None>,"Admin OUI",
"2015-09-16 15:12:56.045945",10:41:7f:7f:b3:64,-73,<None>,"Apple Inc",
"2015-09-16 15:12:56.390527",34:23:ba:41:c3:59,-79,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:12:56.683062",34:23:ba:41:c3:59,-73,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:12:57.300040",c4:9a:02:2f:5e:2f,-79,<None>,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:12:59.280856",00:1a:4d:3e:26:bf,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:13:04.321628",90:3c:92:62:cb:20,-77,<None>,Apple,
"2015-09-16 15:13:06.673071",8a:09:5a:fc:c1:a6,-75,<None>,"Admin OUI",
"2015-09-16 15:13:08.569151",00:1a:4d:3e:26:bf,-73,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:13:08.790522",f2:01:98:de:13:c8,-73,<None>,"Admin OUI",
"2015-09-16 15:13:23.776596",ec:35:86:15:f6:dd,-75,<None>,Apple,
"2015-09-16 15:13:32.122293",10:41:7f:7f:b3:64,-75,<None>,"Apple Inc",
"2015-09-16 15:13:32.170507",10:41:7f:7f:b3:64,-79,<None>,"Apple Inc",
"2015-09-16 15:13:49.172084",cc:3a:61:19:86:c3,-75,<None>,"SAMSUNG ELECTRO MECHANICS CO., LTD.",
"2015-09-16 15:13:52.843247",cc:29:f5:c9:17:7b,-75,<None>,Apple,
"2015-09-16 15:14:09.417973",cc:29:f5:c9:17:7b,-77,<None>,Apple,
"2015-09-16 15:14:10.152164",ac:bc:32:82:44:a5,-75,<None>,Unknown,
"2015-09-16 15:14:12.065649",f0:4f:7c:cb:07:35,-75,"HP-Print-3E-Photosmart 5520",PRIVATE,
"2015-09-16 15:14:13.729659",ac:bc:32:82:44:a5,-75,<None>,Unknown,
"2015-09-16 15:14:13.783285",ac:bc:32:82:44:a5,-75,<None>,Unknown,
"2015-09-16 15:14:17.516446",ac:bc:32:82:44:a5,-73,<None>,Unknown,
"2015-09-16 15:14:31.058861",24:77:03:6f:04:80,-75,<None>,"Intel Corporate",
"2015-09-16 15:14:31.120251",24:77:03:6f:04:80,-77,<None>,"Intel Corporate",
"2015-09-16 15:14:44.233615",68:a3:c4:a2:a4:61,-75,<None>,"Liteon Technology Corporation",
"2015-09-16 15:14:59.812206",48:e9:f1:b7:0d:1a,-73,<None>,Apple,
"2015-09-16 15:14:59.875012",48:e9:f1:b7:0d:1a,-73,<None>,Apple,
"2015-09-16 15:15:03.591293",00:1a:4d:3f:af:3e,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:15:03.645602",00:1a:4d:3f:af:3e,-77,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:15:07.928491",a8:a6:68:1e:d2:0c,-75,<None>,Error,
"2015-09-16 15:15:12.889935",48:e9:f1:b7:0d:1a,-73,<None>,Apple,
"2015-09-16 15:15:12.938337",48:e9:f1:b7:0d:1a,-73,<None>,Apple,
"2015-09-16 15:15:18.429115",f0:db:e2:eb:31:2b,-77,<None>,Apple,
"2015-09-16 15:15:18.479531",f0:db:e2:eb:31:2b,-77,<None>,Apple,
"2015-09-16 15:15:20.172919",00:12:34:1c:78:69,-77,<None>,"Camille Bauer",
"2015-09-16 15:15:23.747353",56:c4:8b:77:57:85,-75,<None>,"Admin OUI",
"2015-09-16 15:15:46.271164",10:a5:d0:44:64:85,-77,_FreeWestfieldWiFi,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:15:48.931590",b0:e0:3c:15:c7:d0,-73,"AVE 2500","TCT mobile ltd",
"2015-09-16 15:16:02.480773",96:ef:0d:88:53:0d,-71,<None>,"Admin OUI",
"2015-09-16 15:16:05.317560",8a:10:8c:61:23:e8,-77,<None>,"Admin OUI",
"2015-09-16 15:16:13.901271",22:4f:cb:2d:3c:0e,-73,<None>,"Admin OUI",
"2015-09-16 15:16:14.672675",0c:8b:fd:57:eb:cb,-77,<None>,"Intel Corporate",
"2015-09-16 15:16:19.557032",10:41:7f:7f:b3:64,-75,<None>,"Apple Inc",
"2015-09-16 15:16:25.916073",10:a5:d0:f0:c1:22,-73,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:16:27.440713",cc:29:f5:c9:17:7b,-77,<None>,Apple,
"2015-09-16 15:16:33.019102",cc:29:f5:c9:17:7b,-77,<None>,Apple,
"2015-09-16 15:16:33.057689",cc:29:f5:c9:17:7b,-77,<None>,Apple,
"2015-09-16 15:16:38.794451",8a:73:96:bb:27:ab,-73,<None>,"Admin OUI",
"2015-09-16 15:16:40.103937",24:77:03:6f:04:80,-77,<None>,"Intel Corporate",
"2015-09-16 15:16:40.159610",24:77:03:6f:04:80,-75,TransCare,"Intel Corporate",
"2015-09-16 15:16:40.235307",24:77:03:6f:04:80,-77,<None>,"Intel Corporate",
"2015-09-16 15:16:55.415159",ce:a2:54:32:98:22,-79,<None>,"Admin OUI",
"2015-09-16 15:17:06.876219",0c:12:62:7f:0b:98,-75,<None>,"zte corporation",
"2015-09-16 15:17:17.238876",56:c4:8b:77:57:85,-71,<None>,"Admin OUI",
"2015-09-16 15:17:17.275282",56:c4:8b:77:57:85,-71,<None>,"Admin OUI",
"2015-09-16 15:17:41.809443",ba:81:6a:4d:3e:27,-75,<None>,"Admin OUI",
"2015-09-16 15:17:49.571015",10:a5:d0:f0:c1:22,-77,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:18:17.470329",96:ef:0d:88:53:0d,-67,<None>,"Admin OUI",
"2015-09-16 15:18:26.996340",34:23:ba:41:c3:59,-75,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:18:52.763555",b0:45:19:24:87:f6,-77,<None>,"TCT mobile ltd",
"2015-09-16 15:18:52.818583",b0:45:19:24:87:f6,-79,<None>,"TCT mobile ltd",
"2015-09-16 15:18:53.198410",18:f6:43:ea:ad:98,-81,<None>,Apple,
"2015-09-16 15:18:55.652934",f0:db:e2:eb:31:2b,-77,<None>,Apple,
"2015-09-16 15:18:59.865126",0c:8b:fd:57:eb:cb,-77,nyu,"Intel Corporate",
"2015-09-16 15:19:18.988446",10:a5:d0:f0:c1:22,-79,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:19:19.048184",10:a5:d0:f0:c1:22,-77,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 15:19:36.702949",6c:71:d9:fe:28:53,-77,<None>,"AzureWave Technologies, Inc",
"2015-09-16 15:19:48.197969",d8:cf:9c:0b:7d:c4,-49,nyu,Apple,
"2015-09-16 15:19:52.450223",d8:cf:9c:0b:7d:c4,-61,nyu,Apple,
"2015-09-16 15:19:59.133207",48:43:7c:bc:b4:96,-75,ASA-College,Apple,
"2015-09-16 15:20:03.493663",b4:ef:39:23:64:e1,-77,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:20:05.377333",d8:cf:9c:0b:7d:c4,-77,nyu,Apple,
"2015-09-16 15:20:08.297385",40:a6:d9:13:2b:b0,-77,<None>,Apple,
"2015-09-16 15:20:08.347288",40:a6:d9:13:2b:b0,-75,<None>,Apple,
"2015-09-16 15:20:09.996567",76:88:5f:83:39:dc,-73,<None>,"Admin OUI",
"2015-09-16 15:20:18.122137",96:ef:0d:88:53:0d,-73,<None>,"Admin OUI",
"2015-09-16 15:20:38.921677",56:c4:8b:77:57:85,-71,<None>,"Admin OUI",
"2015-09-16 15:20:53.410297",ce:a2:54:32:98:22,-77,<None>,"Admin OUI",
"2015-09-16 15:21:17.305413",de:1c:71:1c:1f:2c,-73,<None>,"Admin OUI",
"2015-09-16 15:21:17.362613",de:1c:71:1c:1f:2c,-69,<None>,"Admin OUI",
"2015-09-16 15:21:37.975147",00:1a:4d:3e:2d:6d,-73,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:21:44.887306",34:23:ba:41:c3:59,-73,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:21:54.174674",56:c4:8b:77:57:85,-73,<None>,"Admin OUI",
"2015-09-16 15:21:59.625227",00:1a:4d:3e:2d:6d,-79,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:21:59.678677",00:1a:4d:3e:2d:6d,-77,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:21:59.728369",00:1a:4d:3e:2d:6d,-81,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:22:14.823609",3c:cb:7c:95:38:17,-77,DG1670AC2,"TCT mobile ltd",
"2015-09-16 15:22:14.873996",3c:cb:7c:95:38:17,-77,attwifibn,"TCT mobile ltd",
"2015-09-16 15:22:19.193877",10:41:7f:7f:b3:64,-77,<None>,"Apple Inc",
"2015-09-16 15:22:25.389832",a8:66:7f:50:6c:d8,-79,<None>,"Apple, Inc.",
"2015-09-16 15:22:34.308362",56:c4:8b:77:57:85,-73,<None>,"Admin OUI",
"2015-09-16 15:22:36.064737",64:5a:04:b1:e0:a2,-77,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 15:23:06.280339",ac:bc:32:84:21:fd,-63,"Google Starbucks",Unknown,
"2015-09-16 15:23:23.802954",6e:fd:31:30:8b:20,-75,<None>,"Admin OUI",
"2015-09-16 15:23:25.188818",b4:79:a7:01:97:0d,-79,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 15:23:36.958507",10:ae:60:9f:66:be,-73,<None>,PRIVATE,
"2015-09-16 15:23:37.011729",10:ae:60:9f:66:be,-71,<None>,PRIVATE,
"2015-09-16 15:23:49.285477",f0:4f:7c:cd:02:90,-73,NETGEAR04,PRIVATE,
"2015-09-16 15:23:49.340611",f0:4f:7c:cd:02:90,-71,NYULMCguest,PRIVATE,
"2015-09-16 15:23:49.385935",f0:4f:7c:cd:02:90,-75,DDGuestWiFi,PRIVATE,
"2015-09-16 15:23:49.438365",f0:4f:7c:cd:02:90,-73,FXBW2,PRIVATE,
"2015-09-16 15:23:55.006270",60:af:6d:59:e0:11,-75,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:23:59.796644",60:af:6d:59:e0:11,-77,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:24:08.788979",6e:fd:31:30:8b:20,-71,<None>,"Admin OUI",
"2015-09-16 15:24:13.264897",00:1a:4d:3e:27:fc,-73,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 15:24:13.637652",56:c4:8b:77:57:85,-69,<None>,"Admin OUI",
"2015-09-16 15:24:15.974915",90:3c:92:85:38:bd,-73,nyu,Apple,
"2015-09-16 15:24:42.212595",24:77:03:6f:04:80,-75,<None>,"Intel Corporate",
"2015-09-16 15:24:52.944484",34:23:ba:41:c3:59,-77,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:24:53.764105",56:c4:8b:77:57:85,-71,<None>,"Admin OUI",
"2015-09-16 15:25:10.106994",60:af:6d:59:e0:11,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 15:25:18.989609",34:23:ba:41:c3:59,-77,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:25:23.026712",ca:6b:6e:35:8a:9b,-71,<None>,"Admin OUI",
"2015-09-16 15:25:30.343477",34:23:ba:41:c3:59,-77,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:25:37.194306",1c:56:fe:e4:bc:b9,-79,<None>,"Motorola Mobility LLC, a Lenovo Company",
"2015-09-16 15:25:38.795914",0a:62:fc:c9:47:70,-73,<None>,"Admin OUI",
"2015-09-16 15:25:39.075294",b2:f9:72:4a:7e:b9,-77,<None>,"Admin OUI",
"2015-09-16 15:25:47.092123",24:77:03:6f:04:80,-79,<None>,"Intel Corporate",
"2015-09-16 15:25:48.916313",06:a7:23:a3:2b:e8,-71,<None>,"Admin OUI",
"2015-09-16 15:26:29.859360",64:5a:04:b1:e0:a2,-77,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 15:26:36.139880",70:14:a6:48:d2:2e,-77,<None>,Error,
"2015-09-16 15:26:47.103725",70:14:a6:48:d2:2e,-73,<None>,"Apple, Inc.",
"2015-09-16 15:26:47.160706",70:14:a6:48:d2:2e,-73,<None>,"Apple, Inc.",
"2015-09-16 15:26:53.230551",34:23:ba:41:c3:59,-73,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:26:53.411408",d8:cf:9c:0b:7d:c4,-51,nyu,Apple,
"2015-09-16 15:27:02.200031",56:c4:8b:77:57:85,-77,<None>,"Admin OUI",
"2015-09-16 15:27:19.342229",c0:bd:d1:6b:a0:df,-77,<None>,Error,
"2015-09-16 15:27:28.411125",f8:cf:c5:d6:8f:0f,-77,NETGEAR57,Error,
"2015-09-16 15:27:37.228928",34:23:ba:41:c3:59,-75,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:27:45.368135",70:14:a6:48:d2:2e,-71,<None>,"Apple, Inc.",
"2015-09-16 15:27:45.424290",70:14:a6:48:d2:2e,-75,<None>,"Apple, Inc.",
"2015-09-16 15:27:53.726549",0a:62:fc:c9:47:70,-77,<None>,"Admin OUI",
"2015-09-16 15:27:56.795866",24:77:03:6f:04:80,-77,TransCare,"Intel Corporate",
"2015-09-16 15:27:57.597469",a0:39:f7:11:d2:08,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 15:27:59.896247",24:0a:11:a8:09:bc,-77,CableWiFi,"TCT Mobile Limited",
"2015-09-16 15:28:03.905819",06:a7:23:a3:2b:e8,-73,<None>,"Admin OUI",
"2015-09-16 15:28:05.037516",34:23:ba:41:c3:59,-71,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 15:28:22.350121",10:41:7f:7f:b3:64,-79,<None>,"Apple Inc",
"2015-09-16 15:28:24.231775",d4:37:d7:94:d6:8a,-75,<None>,Error,
"2015-09-16 15:28:29.458444",6c:88:14:66:1d:ec,-73,"$20H`l","Intel Corporate",
"2015-09-16 15:28:29.511670",6c:88:14:66:1d:ec,-71,nyu,"Intel Corporate",
"2015-09-16 15:28:30.054494",6c:88:14:66:1d:ec,-73,nyu,"Intel Corporate",
"2015-09-16 15:28:32.201332",56:c4:8b:77:57:85,-69,<None>,"Admin OUI",
"2015-09-16 15:28:44.385633",c4:9a:02:79:95:55,-75,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:28:44.437840",c4:9a:02:79:95:55,-73,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:28:44.489886",c4:9a:02:79:95:55,-77,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:28:44.552202",c4:9a:02:79:95:55,-75,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:28:44.603804",c4:9a:02:79:95:55,-77,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 15:28:44.657076",c4:9a:02:79:95:55,-73,_Badoo_Free_WiFi,"LG Electronics (Mobile Communicaitons)",
