dtg,mac,rssi,ssid,oui,count
"2015-09-16 12:47:23.890707",a0:02:dc:9b:e0:5d,-35,nyu,"Amazon Technologies Inc.",
"2015-09-16 12:47:23.981987",a0:02:dc:9b:e0:5d,-35,nyu,"Amazon Technologies Inc.",
"2015-09-16 12:47:24.041473",a0:02:dc:9b:e0:5d,-35,<None>,"Amazon Technologies Inc.",
"2015-09-16 12:47:35.691606",20:d7:5a:00:2e:30,-77,<None>,"Posh Mobile Limited",
"2015-09-16 12:47:39.667623",70:3e:ac:a2:e3:56,-77,<None>,Apple,
"2015-09-16 12:47:53.207399",e8:92:a4:91:13:de,-77,p,"LG Electronics",
"2015-09-16 12:47:53.269412",e8:92:a4:91:13:de,-75,<None>,"LG Electronics",
"2015-09-16 12:48:04.698296",e0:b5:2d:d4:f8:a2,-77,<None>,Apple,
"2015-09-16 12:48:08.307691",08:ec:a9:5e:4c:d6,-73,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 12:48:08.401118",08:ec:a9:5e:4c:d6,-75,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 12:48:26.216982",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:48:33.247910",44:80:eb:12:92:ac,-77,<None>,"Motorola Mobility LLC, a Lenovo Company",
"2015-09-16 12:48:37.665159",f0:99:bf:32:bd:96,-79,ImpreGuest,Apple,
"2015-09-16 12:48:39.324461",e4:90:7e:7e:c3:e3,-77,<None>,"Motorola Mobility LLC, a Lenovo Company",
"2015-09-16 12:48:44.919219",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:48:45.731757",b8:5a:73:c9:f3:a2,-75,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 12:48:45.796905",b8:5a:73:c9:f3:a2,-71,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 12:54:56.851149",00:1d:7d:4b:60:96,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:54:57.992079",00:1d:7d:4b:60:96,-75,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:54:58.056645",00:1d:7d:4b:60:96,-75,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:54:59.191817",64:9a:be:dc:08:62,-71,<None>,Apple,
"2015-09-16 12:55:00.156828",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:08.096601",90:b6:86:c4:0d:8a,-77,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 12:55:10.582547",a8:66:7f:af:a9:24,-73,<None>,"Apple, Inc.",
"2015-09-16 12:55:13.082323",6c:76:60:2c:1e:19,-73,<None>,"KYOCERA Corporation",
"2015-09-16 12:55:16.487788",00:1d:7d:4b:60:96,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:55:17.787733",f0:99:bf:32:bd:96,-73,NYU-ROAM3,Apple,
"2015-09-16 12:55:18.864818",0c:48:85:b1:be:7f,-73,<None>,"LG Electronics",
"2015-09-16 12:55:24.624280",68:84:70:7d:df:0e,-77,<None>,"eSSys Co.,Ltd",
"2015-09-16 12:55:25.044539",68:84:70:7d:df:0e,-75,<None>,"eSSys Co.,Ltd",
"2015-09-16 12:55:25.133907",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:25.196280",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:29.534713",90:18:7c:e7:12:81,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 12:55:30.232203",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:35.243289",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:40.245664",e4:f8:ef:97:80:59,-73,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:45.375867",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:55.317292",02:66:2a:40:6f:52,-71,<None>,"Admin OUI",
"2015-09-16 12:55:55.462228",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:55:55.530294",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:00.533067",e4:f8:ef:97:80:59,-79,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:05.583328",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:05.647448",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:10.758787",8c:00:6d:37:17:2b,-77,<None>,Apple,
"2015-09-16 12:56:10.831051",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:15.773257",a8:5b:78:3a:9e:85,-75,<None>,Apple,
"2015-09-16 12:56:17.181534",88:c9:d0:f0:5f:44,-77,<None>,"LG Electronics",
"2015-09-16 12:56:22.630907",00:15:00:4c:2f:3e,-75,<None>,"Intel Corporate",
"2015-09-16 12:56:25.921463",e4:f8:ef:97:80:59,-73,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:25.972272",e4:f8:ef:97:80:59,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:31.090580",00:15:00:4c:2f:3e,-79,BAE_Gnetwork_600MS,"Intel Corporate",
"2015-09-16 12:56:32.466888",00:1a:4d:3e:2f:97,-77,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:56:33.306437",8c:00:6d:37:17:2b,-75,<None>,Apple,
"2015-09-16 12:56:34.432588",00:1a:4d:3e:2f:97,-75,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:56:35.012548",a8:5b:78:3a:9e:85,-75,ash,Apple,
"2015-09-16 12:56:36.023917",d4:0b:1a:a9:e2:ea,-77,<None>,"HTC Corporation",
"2015-09-16 12:56:36.085806",d4:0b:1a:a9:e2:ea,-73,<None>,"HTC Corporation",
"2015-09-16 12:56:36.146573",e4:f8:ef:97:80:59,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 12:56:39.179804",00:1a:4d:3e:2f:97,-75,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD.",
"2015-09-16 12:56:43.559365",00:0c:e7:12:49:35,-73,<None>,"MediaTek Inc.",
"2015-09-16 12:56:43.615311",00:0c:e7:12:49:35,-75,<None>,"MediaTek Inc.",
"2015-09-16 12:56:44.365178",00:15:00:4c:2f:3e,-73,<None>,"Intel Corporate",
"2015-09-16 12:56:45.394122",00:15:00:4c:2f:3e,-75,BAE_Gnetwork_600MS,"Intel Corporate",
"2015-09-16 12:56:55.828795",60:d9:c7:20:cc:cf,-61,<None>,Apple,
"2015-09-16 12:56:55.917020",60:d9:c7:20:cc:cf,-59,<None>,Apple,
"2015-09-16 12:56:56.601799",60:d9:c7:20:cc:cf,-63,<None>,Apple,
"2015-09-16 12:56:56.670389",60:d9:c7:20:cc:cf,-69,<None>,Apple,
"2015-09-16 12:56:56.813420",60:d9:c7:20:cc:cf,-65,<None>,Apple,
"2015-09-16 12:56:56.876261",60:d9:c7:20:cc:cf,-67,<None>,Apple,
"2015-09-16 13:06:58.114314",bc:3b:af:20:7e:ee,-45,nyu,Apple,
"2015-09-16 13:07:09.394473",fc:db:b3:10:a8:47,-77,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:07:09.448689",fc:db:b3:10:a8:47,-75,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:07:14.557971",bc:3b:af:20:7e:ee,-75,nyu,Apple,
"2015-09-16 13:07:18.229033",a0:39:f7:2b:5c:7d,-79,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:07:28.631351",50:55:27:e0:14:e7,-77,<None>,"LG Electronics",
"2015-09-16 13:07:32.096330",78:4b:87:78:36:bb,-73,<None>,"Murata Manufacturing Co.,Ltd.",
"2015-09-16 13:07:36.216281",d4:0b:1a:a9:e2:ea,-81,<None>,"HTC Corporation",
"2015-09-16 13:07:42.424750",e2:21:05:38:5e:ad,-75,<None>,"Admin OUI",
"2015-09-16 13:07:42.476305",e2:21:05:38:5e:ad,-75,<None>,"Admin OUI",
"2015-09-16 13:08:08.708053",a8:a6:68:36:c0:9a,-77,<None>,"zte corporation",
"2015-09-16 13:08:08.758739",a8:a6:68:36:c0:9a,-77,<None>,"zte corporation",
"2015-09-16 13:08:11.144507",ec:1f:72:a8:b5:34,-77,<None>,"Samsung Electro Mechanics co., LTD.",
